  grantor  |  grantee  | table_catalog | table_schema |                 table_name                 | privilege_type | is_grantable | with_hierarchy 
 pngie_app | pngie_app | pngie_rdc     | public       | federation_sportive                        | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | federation_sportive                        | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | federation_sportive                        | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | federation_sportive                        | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | federation_sportive                        | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | federation_sportive                        | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | federation_sportive                        | REFERENCES     | YES          | NO
 postgres  | pngie_app | pngie_rdc     | public       | fiche_tome                                 | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | fiche_tome                                 | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | fiche_tome                                 | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | fiche_tome                                 | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | fonction                                   | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | fonction                                   | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | fonction                                   | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | fonction                                   | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | grade                                      | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | grade                                      | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | grade                                      | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | grade                                      | SELECT         | NO           | YES
 pngie_app | pngie_app | pngie_rdc     | public       | immatriculation_vehicule                   | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | immatriculation_vehicule                   | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | immatriculation_vehicule                   | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | immatriculation_vehicule                   | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | immatriculation_vehicule                   | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | immatriculation_vehicule                   | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | immatriculation_vehicule                   | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | incident_securitaire                       | SELECT         | YES          | YES
