 table_schema |                 table_name                 |                          privileges                           
 public       | role                                       | DELETE, INSERT, SELECT, UPDATE
 public       | role_metier                                | DELETE, INSERT, SELECT, UPDATE
 public       | role_permission                            | DELETE, INSERT, SELECT, UPDATE
 public       | service_public                             | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | session_utilisateur                        | DELETE, INSERT, SELECT, UPDATE
 public       | signalement_sanitaire                      | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | signature_electronique                     | DELETE, INSERT, SELECT, UPDATE
 public       | type_document                              | DELETE, INSERT, SELECT, UPDATE
 public       | unite_organisationnelle                    | DELETE, INSERT, SELECT, UPDATE
 public       | validation                                 | DELETE, INSERT, SELECT, UPDATE
 public       | verification                               | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
(156 lignes)

